"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"CG9609","Haemocytes","Wasp",0.313627589664572,4.64972556925202,3.10446045632732,0.0993521540173356,0.333026093451081,0.356558733510739,4.64972556925202,4.02354798261166,0.0640956892466631,0.143874366287723
"CG9616","Haemocytes","Control",0.460048676558661,5.87112238045408,2.47993445068699,0.137085077819996,0.251521316695818,2.97349199830075,5.87112238045408,85.2405429382977,2.03011858582036e-07,1.57483463826506e-05
"CG9616","Haemocytes","Response",-1.69474174081299,5.87112238045408,16.8227131593735,0.00102736110085688,0.0127505214315581,0.156336326490283,5.87112238045408,0.131617293131474,0.722047457678555,0.931835447336799
"CG9616","Haemocytes","Wasp",-1.23469306425433,5.87112238045408,17.7562389126006,0.00082305200227578,0.0138772719755851,3.12982832479103,5.87112238045408,95.6758114293075,9.86192451292537e-08,6.75605867606251e-06
"CG9628","Haemocytes","Control",1.90506308936848,3.80609206364948,29.2099085192032,8.51078877390153e-05,0.000810491457493056,-2.34912394785479,3.80609206364948,50.0649471891741,4.82572591210886e-06,0.000205287936986889
"CG9628","Haemocytes","Response",-2.58359913957878,3.80609206364948,28.8117300264677,9.10786589158638e-05,0.00258100686774956,0.0735064687914241,3.80609206364948,0.0255491285256989,0.875233838989979,0.968910493320492
"CG9628","Haemocytes","Wasp",-0.678536050210298,3.80609206364948,4.26379372443959,0.0574873550874076,0.236989458486581,-2.27561747906337,3.80609206364948,46.2260243211424,7.5591309254877e-06,0.00022958360286311
"CG9630","Haemocytes","Control",-0.219870574581238,5.54060608445262,4.21863401792816,0.0586656616147156,0.134431522596709,0.118308329319019,5.54060608445262,1.2190808638879,0.287706638456354,0.478603758390813
"CG9630","Haemocytes","Response",0.222720579922446,5.54060608445262,2.15645360445083,0.163543493066138,0.451907766329951,-0.0145702902167317,5.54060608445262,0.0092228702486,0.924820084571567,0.986220235817609
"CG9630","Haemocytes","Wasp",0.00285000534120767,5.54060608445262,0.000703423464894937,0.979206086929798,0.992565739537795,0.103738039102287,5.54060608445262,0.93357588404459,0.349933458168229,0.474768259217441
